a_num,b_link,c_title,d_dateUK,e_dateISO,f_image,g_alt,h_desc,i_page
337,https://www.chronicle.com/blogs/linguafranca/2018/06/27/koko-is-dead-but-the-myth-of-her-linguistic-skills-lives-on/,Koko Is Dead, but the Myth of Her Linguistic Skills Lives On,27 Jun 2018,2019-06-27,http://chronicle-brightspot.s3.amazonaws.com/da/fb/25fa4567491bab7c848f64525a91/screen-shot-2018-06-27-at-12-23-31-pm.png,koko,Despite people’s wishful thinking, the famous gorilla did not master sign language, writes Geoff Pullum, but was producing random signs, notably in situation-bound efforts to get food from her trainer.,https://www.chronicle.com/blogs/linguafranca?p=12
336,https://www.chronicle.com/blogs/linguafranca/2018/06/20/strunk-at-100-a-centennial-not-to-celebrate/,Strunk at 100: A Centennial Not to Celebrate,20 Jun 2018,2019-06-20,http://chronicle-brightspot.s3.amazonaws.com/96/d4/cfb09330710fb2d6a1f1e6bad9d0/strunkatbartleby.jpg,bartleyby.com,Geoff Pullum argues that professors should stop sending students to a thoroughly outdated writing guide — and cites some alternatives.,https://www.chronicle.com/blogs/linguafranca?p=13
335,https://www.chronicle.com/blogs/linguafranca/2018/06/13/another-conquest-by-the-language-that-is-eating-the-world/,Another Conquest by the Language That Is Eating the World,13 Jun 2018,2019-06-13,http://chronicle-brightspot.s3.amazonaws.com/36/4b/39a60e18dfe58e1e20d5b0d768d8/flags2.png,uk & nl flags,In the Netherlands, colleges are expanding their enrollments by offering courses in English, says Geoff Pullum.,https://www.chronicle.com/blogs/linguafranca?p=13
334,https://www.chronicle.com/blogs/linguafranca/2018/06/07/infinitives-can-be-split-grammar-conservatives-face-the-shock/,Infinitives Can Be Split: Grammar Conservatives Face the Shock,7 Jun 2018,2019-09-07,http://chronicle-brightspot.s3.amazonaws.com/97/df/d085422d94f13d0c4f96be077def/the-enterprise.jpg,starship,Geoff Pullum examines the reaction in the letters column to a recent surprising announcement by The Economist. Could Lingua Franca have helped strengthen the magazine’s resolve?,https://www.chronicle.com/blogs/linguafranca?p=14
333,https://www.chronicle.com/blogs/linguafranca/2018/05/27/amazons-alexa-not-yet-as-smart-as-a-5-year-old-child/,Amazon’s Alexa: Not Yet as Smart as a 5-Year-Old Child,27 May 2018,2018-05-27,http://chronicle-brightspot.s3.amazonaws.com/5f/63/de754c38cba5c4793eef1989f910/listening.png,xkcd alexa,Geoff Pullum says natural-language processing is not ready for prime time, much less Amazon Prime.,https://www.chronicle.com/blogs/linguafranca?p=15
332,https://www.chronicle.com/blogs/linguafranca/2018/05/20/the-israelpalestine-dispute-is-ill-served-by-uninformed-grammar-nitpicking/,The Israel/Palestine Dispute Is Ill-Served by Uninformed Grammar Nitpicking,20 May 2018,2018-05-20,,,Ethno-geopolitical affairs in the Middle East are complex, says Geoff Pullum. We do neither side any favors by discussing the tragic maelstrom of hostilities through ignorant quibbles about language.,https://www.chronicle.com/blogs/linguafranca?p=15
331,https://www.chronicle.com/blogs/linguafranca/2018/05/13/hello-google-duplex-no-artificially-intelligent-calls-please/,Hello, Google Duplex? No Artificially Intelligent Calls, Please,13 May 2018,2018-05-13,http://chronicle-brightspot.s3.amazonaws.com/d0/57/2b0a68d664d61b406bf90d934170/screen-shot-2018-05-11-at-2-37-52-pm-copy.jpg,early robot,Geoff Pullum, examining a new development in artificial intelligence, decides that he’s inclined to continue making his own phone calls.,https://www.chronicle.com/blogs/linguafranca?p=16
330,https://www.chronicle.com/blogs/linguafranca/2018/05/08/fish-cheese-and-gossip-2000-years-of-snobbery-in-the-suffix-%E2%80%91monger/,Fish, Cheese, and Gossip: 2,000 Years of Snobbery in the Suffix ‘-Monger’,8 May 2018,2018-05-08,http://chronicle-brightspot.s3.amazonaws.com/af/1a/007b5d9c786a6716f1a0ed68b280/costard-apples.png,costard apples,Geoff Pullum detects more than a hint of millennia-old bias in words like warmonger.,https://www.chronicle.com/blogs/linguafranca?p=16
329,https://www.chronicle.com/blogs/linguafranca/2018/05/02/watergate-weinergate-and-windrush-the-naming-of-political-scandals/,Watergate, Weinergate, and Windrush: the Naming of Political Scandals,2 May 2018,2018-05-02,http://chronicle-brightspot.s3.amazonaws.com/18/a2/4f825b40a4780e0b31b73e252f6b/windrush.jpg,windrush,Geoff Pullum tracks some of the word-formation processes involved in the coining of names for new media firestorms.,https://www.chronicle.com/blogs/linguafranca?p=16
328,https://www.chronicle.com/blogs/linguafranca/2018/04/23/emoji-are-ruining-grasp-of-english-says-dumbest-language-story-of-the-week/,Emoji Are Ruining Grasp of English, Says Dumbest Language Story of the Week,23 Apr 2018,2018-04-23,http://chronicle-brightspot.s3.amazonaws.com/ca/77/da6cb4a34312aa3123db4d3e953b/emoji.jpg,emoji,Poppycock, says Geoff Pullum. Dropping the occasional pictograph into their prose is not going to strip people of the capacity to form sentences.,https://www.chronicle.com/blogs/linguafranca?p=17
